epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,304.391,1.5456,3.46199,1.35245,0.00332,0.91507,0.31542,0.17042,1.26704,3.56363,1.16003,0.00054,0.00054,0.00054
2,603.484,1.55536,2.45673,1.33141,0.1505,0.07431,0.04325,0.01252,1.7142,3.974,1.60387,0.0009911,0.0009911,0.0009911
3,881.03,1.57112,2.24387,1.32386,0.13082,0.29512,0.13394,0.05986,1.58333,3.87299,1.47844,0.00133132,0.00133132,0.00133132
4,1151.71,1.56164,2.14373,1.38747,0.54607,0.49549,0.42284,0.21045,1.53737,3.75582,1.41479,0.001406,0.001406,0.001406
5,1432.84,1.48397,1.83891,1.3076,0.71892,0.74098,0.75082,0.39669,1.52981,1.67865,1.36587,0.001208,0.001208,0.001208
6,1711.6,1.45806,1.64142,1.31214,0.75535,0.70276,0.75753,0.43614,1.37883,1.49586,1.27016,0.00101,0.00101,0.00101
7,1999.54,1.49183,1.60259,1.30578,0.8733,0.74522,0.84675,0.47274,1.44506,1.42263,1.27226,0.000812,0.000812,0.000812
8,2277.35,1.33372,1.41076,1.2517,0.84995,0.84184,0.88145,0.52229,1.30264,1.23875,1.20388,0.000614,0.000614,0.000614
9,2550.98,1.36713,1.29558,1.22822,0.92465,0.87261,0.93574,0.57381,1.27915,1.11069,1.1698,0.000416,0.000416,0.000416
10,2822.55,1.2985,1.20133,1.17435,0.91708,0.91579,0.9515,0.57755,1.25556,1.07831,1.15291,0.000218,0.000218,0.000218
